|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
| Index | Title                                                                               | Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | Amount(in rupees) | Price (in rupees) | location | Carpet Area | Status        | Floor           | Transaction  | Furnishing     | facing       | overlooking                  | Society                             | Bathroom | Balcony | Car Parking | Ownership            | Super Area | Dimensions | Plot Area |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|     0 | 1 BHK Ready to Occupy Flat for sale in Srushti Siddhi Mangal Murti Complex Bhiwandi | Bhiwandi, Thane has an attractive 1 BHK Flat for sale. The property is ideally located in a strategic location in Srushti Siddhi Mangal Murti Complex township. This flat for resale is a choice property. This apartment ready to move in the Bhiwandi is available for an attractive price of INR 42 Lac. You will find it unfurnished.                                                                                                                                                                             | 42 Lac            |              6000 | thane    | 500 sqft    | Ready to Move | 10 out of 11    | Resale       | Unfurnished    |              |                              | Srushti Siddhi Mangal Murti Complex |        1 |       2 |             |                      |            |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|     1 | 2 BHK Ready to Occupy Flat for sale in Dosti Vihar Pokhran Road                     | One can find this stunning 2 BHK flat for sale in Pokhran Road, Thane. It enjoys an excellent location within the Dosti Vihar. This flat for resale is a choice property. This ready to move flat in Pokhran Road can be availed at a reasonable price of INR 98 Lac. This semi-furnished flat is strategically designed with all the amenities to enhance the living experience. The property is strategically placed near prominent places as near singhaniya school which make for the smooth living of residents. | 98 Lac            |             13799 | thane    | 473 sqft    | Ready to Move | 3 out of 22     | Resale       | Semi-Furnished | East         | Garden/Park                  | Dosti Vihar                         |        2 |         | 1 Open      | Freehold             |            |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|     2 | 2 BHK Ready to Occupy Flat for sale in Sunrise by Kalpataru Kolshet Road            | Up for immediate sale is a 2 BHK apartment in Kolshet Road, Thane. Don't miss this bargain flat for sale. Situated in the Sunrise By Kalpataru township, it has a prime location. This flat for resale has a desirable location. You can buy this ready to move flat in Kolshet Road at a reasonable price of INR 1.40 Cr. This unfurnished flat is strategically designed with all the amenities to enhance the living experience. Landmarks near the apartment include pokhran road no 2.                           | 1.40 Cr           |             17500 | thane    | 779 sqft    | Ready to Move | 10 out of 29    | Resale       | Unfurnished    | East         | Garden/Park                  | Sunrise by Kalpataru                |        2 |         | 1 Covered   | Freehold             |            |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|     3 | 1 BHK Ready to Occupy Flat for sale Kasheli                                         | This beautiful 1 BHK Flat is available for sale in Kasheli, Thane. This flat for resale has a desirable location. This ready to move flat is offered at an economical price of INR 25 Lac. You will find it unfurnished.                                                                                                                                                                                                                                                                                              | 25 Lac            |                   | thane    | 530 sqft    | Ready to Move | 1 out of 3      | Resale       | Unfurnished    |              |                              |                                     |        1 |       1 |             |                      |            |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
